Part Number,Part Name,Rule Number,Title,Content
11,MISCELLANEOUS,132,Exemption of certain women from personal appearance.__,"(1) Women who, according to the customs and manners of the country7 ought not to be compelled to appear in public shall be exempt from personal appearance in Court. (2) Nothing herein contained shall be deemed to exempt such women from arrest in execution of civil process in any case in which the arrest of women is not prohibited by this Code."
11,MISCELLANEOUS,133,Exemption of other persons.,"__ (1) The 1[Provincial Government] may, by notification2 in the 1[official Gazette], exempt from personal appearance in Court any person whose rank, in the opinion of such Government, entitles him to the privilege of exemption. (2) The names and residences of the persons so exempted shall, from time to time, be forwarded to the High Court by the 1[Provincial Government] and a list of such persons shall be kept in such Court, and a list of such persons as reside within the local limits of the jurisdiction of each Court subordinate to the High Court shall be kept in such subordinate Court. (3) Where any person so exempted claims the privilege of such exemption, and it is consequently necessary to examine him by commission, he shall pay the costs of that commission, unless the party requiring his evidence pays such costs."
11,MISCELLANEOUS,134,Arrest other than in execution of decree.,"The provisions of sections 55, 57 and 59 shall apply, so far as may be, to all persons arrested under this Code."
11,MISCELLANEOUS,135,Exemption from arrest under civil process.,"__ (1) No Judge, Magistrate or other judicial officer shall be liable to arrest under civil process while going to, presiding in, or returning from, his Court. (2) Where any matter is pending before a tribunal having jurisdiction therein, or believing in good faith that it has such jurisdiction, the parties thereto, their pleaders, mukhtars, revenue agents and recognized agents, and their witnesses acting in obedience to a summons, shall be exempt from arrest under civil process other than process issued by such tribunal for contempt of Court while going to or attending such tribunal for the purpose of such matter, and while returning from such tribunal. (3) Nothing in sub section (2) shall enable a judgment debtor to claim exemption from arrest under an order for immediate execution or where such judgment debtor attends to show cause why he should not be committed to prison in execution of a decree. 3[l35A. Exemption of members of Legislative bodies from arrest and detention under civil process.__ (1) No person shall be liable to arrest or detention in prison under civil process__ 6[(a) if he is member of a 4[*] Legislature 4[* * *] 5[* * *] ,during the continuance of any meeting of such Legislature 4[* *];] (b) if he is a member of any committee of such 1[Legislature 4* * *], during the continuance of any meeting of such committee;"
11,MISCELLANEOUS,136,Procedure where person to be arrested or property to be attached is outside district,".__ (1) Where an application is made that any person shall be arrested or that property shall be attached under any provision of this Code not relating to the execution of decrees, and such person resides or such property is situate outside the local limits of the jurisdiction of the Court to which the application is made, the Court may, in its discretion, issue a warrant of arrest or make an order of attachment, and send to the District Court within the local limits of whose jurisdiction such person or property resides or is situate a copy of the warrant or order, together with the probable amount of the costs of the arrest or attachment. (2) The district Court shall, on receipt of such copy and amount, cause the arrest or attachment to be made by its own officers, or by a Court subordinate to itself, and shall inform the Court which issued or made such warrant or order of the arrest or attachment (3) The Court making an arrest under this section shall send the person arrested to the Court by which the warrant of arrest was issued, unless he shows cause to the satisfaction of the former Court why he should not be sent to the latter Court, or unless he furnishes sufficient security for his appearance before the latter Court or for satisfying any decree that may be passed against him by that Court, in either of which cases the Court making the arrest shall release him. 1[* * * * * * *]"
11,MISCELLANEOUS,137,Language of subordinate Courts.,"__ (1) The language which, on the commencement of this Code, is the language of any Court subordinate to a High Court shall continue to be the language of such subordinate Court until the 2[Provincial Government] otherwise directs. (2) The 2[Provincial Government] may declare what shall be the language of any such Court and in what character applications to and proceedings in such Courts shall be written. (3) Where this Code requires or allows anything other than the recording of evidence to be done in writing in any such Court, such writing may be in English; but if any party or his pleader is unacquainted with English a translation into the language of the Court shall, at his request, be supplied to him; and the Court shall make such order as it thinks fit in respect of the payment of the costs of such translation."
11,MISCELLANEOUS,138,Power of High Court to require evidence to be recorded in English.__,"(1) The 3[High Court] may, by notification in the 2[official Gazette], direct with respect to any Judge specified in the notification, or failing under a description set forth therein, that evidence in cases in which an appeal is allowed shall be taken down by him in the English language and in manner prescribed. (2) Where a Judge is prevented by any sufficient reason from complying with a direction under sub section (1), he shall record the reason and cause the evidence to be taken down in writing from his dictation in open Court. Page 54 of 318"
11,MISCELLANEOUS,139,Oath on affidavit by whom to be administered.,"In the case of any affidavit under this Code__ (a) any Court or Magistrate, or (b) any officer or other person whom a High Court may appoint in this behalf, or 1(c) any officer appointed by any other Court which the 2[Provincial Government] has generally or specially empowered in this behalf, may administer the oath to the deponent."
11,MISCELLANEOUS,140,"Assessors in causes of savages, etc.","__ (1) In any Admiralty or Vice Admiralty cause of salvage, towage or collision, the Court, whether it be exercising its original or its appellate jurisdiction, may, if it thinks fit, and shall upon request of either party to such cause, summon to its assistance, in such manner as it may direct or as may be prescribed, two competent assessors; and such assessors shall attend and assist accordingly. (2) Every such assessor shall receive such fees for his attendance, to be paid by such of the parties as the Court may direct or as may be prescribed."
11,MISCELLANEOUS,141,Miscellaneous proceedings.__,"The procedure provided in this Code with regard to suits shall be followed, as far as it can be made applicable, in all proceedings in any Court of civil jurisdiction.]"
